"name","census_count"
"bird",33457
"bonner",33446
"ferrell",33418
"cotton",33374
"dotson",33347
"mcgowan",33340
"barlow",33335
"shea",33329
"ewing",33314
"bright",33281
"becerra",33274
"lindsay",33255
"ritter",33252
"cooley",33231
"fritz",33224
"cooke",33223
"delaney",33218
"amaya",33218
"chaney",33201
"kidd",33186
"velasco",33078
"ngo",33005
"cheng",32982
"newell",32909
"frey",32904
"carney",32897
"barrios",32873
"bolton",32815
"holman",32788
"tovar",32760
"cardona",32727
"dailey",32719
"merrill",32620
"cowan",32586
"slater",32584
"albert",32507
"justice",32480
"osborn",32439
"carver",32415
"lancaster",32362
"goff",32298
"zapata",32274
"fulton",32258
"kang",32221
"sears",32206
"lehman",32180
"byers",32174
"snider",32148
"law",32122
"tan",32120
"lake",32104
"lutz",32050
"costello",32043
"gay",32025
"guthrie",31956
"gallardo",31909
"workman",31856
"mcfadden",31839
"blanco",31800
"gorman",31788
"katz",31780
"kuhn",31776
"noel",31768
"valle",31716
"marino",31687
"hong",31670
"springer",31643
"pickett",31611
"aguilera",31581
"witt",31575
"carrasco",31575
"donahue",31563
"kinney",31558
"donnelly",31505
"britt",31474
"craft",31452
"odell",31349
"daly",31330
"winter",31310
"abraham",31303
"baez",31298
"rodrigues",31280
"wooten",31249
"hartley",31221
"ng",31210
"kendall",31209
"cleveland",31123
"crowley",31098
"pearce",31060
"dillard",31021
"wilder",31018
"lange",30984
"shoemaker",30934
"flanagan",30887
"bruno",30883
"segura",30880
"beach",30867
"castellanos",30859
"tillman",30825
"alford",30771
"finch",30769
"mcleod",30769
"mackey",30749
"dodd",30732
"emerson",30702
"minor",30702
"muniz",30695
"alston",30693
"maloney",30671
"childers",30570
"mcdermott",30528
"moser",30483
"vogel",30470
"mccabe",30401
"dang",30389
"alonso",30389
"saucedo",30374
"starr",30363
"do",30301
"hurtado",30286
"kirkland",30283
"hendrickson",30259
"holley",30231
"cordero",30158
"franks",30155
"guillen",30153
"welsh",30153
"ratliff",30083
"sweet",30051
"talley",30014
"whitfield",29962
"crowe",29953
"goldstein",29938
"england",29926
"pereira",29898
"ly",29891
"joyner",29884
"richter",29880
"farris",29877
"tracy",29867
"bacon",29860
"han",29847
"gibbons",29824
"mayfield",29805
"hoang",29798
"elder",29796
"lau",29792
"dale",29757
"camp",29753
"connolly",29710
"hewitt",29694
"cramer",29691
"goldberg",29603
"morin",29593
"sutherland",29585
"kaplan",29582
"mcallister",29544
"byrne",29503
"osorio",29482
"cash",29476
"haines",29462
"meeks",29457
"wynn",29417
"gilliam",29414
"vigil",29382
"hickey",29350
"connor",29346
"pate",29327
"zepeda",29252
