"name","census_count"
"star",3188
"valentina",3014
"zona",670
"alecia",7925
"cary",22253
"charlean",614
"charlyn",1028
"dalene",1160
"delorise",593
"dorthea",1011
"eartha",1285
"genie",1389
"gerald",182090
"gertie",470
"hollie",12787
"jeanene",1640
"lucie",1326
"marcene",470
"marjean",556
"rise",892
"rosaline",932
"steven",1012518
"suanne",1061
"terrill",3269
"vivien",793
"anastasia",10012
"ardella",528
"belle",956
"bobette",878
"dennis",384211
"elizebeth",1427
"enedina",1237
"esta",586
"florida",384
"janetta",1915
"joella",1493
"josefa",1076
"lavinia",1307
"lyndia",557
"noelia",1796
"reatha",639
"robbin",9565
"rosina",1361
"sharlyn",756
"tessie",1989
"willette",1270
"alexa",9377
"alida",1525
"betsey",1149
"bettyann",465
"blenda",606
"carin",3854
"claretha",489
"courtney",142730
"cydney",1383
"deedee",3146
"dell",2517
"fanny",1451
"gaile",391
"georganne",724
"hermelinda",1144
"jettie",483
"kevin",856333
"laurine",677
"lise",2566
"loralee",1075
"madaline",611
"meta",1054
"michaelene",929
"moira",3475
"raymond",287182
"roxane",4634
"sherian",441
"suzy",3009
"adria",3399
"adriana",24268
"alfredia",748
"beckie",2206
"bernardine",569
"cecil",27346
"chloe",6125
"devon",25831
"dorian",8731
"georganna",690
"hettie",505
"ione",612
"kayla",77128
"lavonda",2918
"lexie",1209
"loretha",902
"luanna",870
"lynell",1983
"marvel",921
"melvin",83562
"mercy",1869
"michaela",8536
"natalia",6683
"pinkie",501
"shawna",36936
"sherrell",2154
"sibyl",855
"aretha",4195
"belen",2102
"blanch",407
"cristy",7040
"elba",1869
"fabienne",310
"hortensia",594
"jesusa",496
"johnette",1386
"karel",842
"kathe",713
"lanell",1277
"lianne",2041
"loris",575
"mazie",513
"merilyn",512
"michaeline",451
"penney",1665
"penni",2324
"samantha",188131
"sari",1952
"scarlet",2036
"trinidad",3126
"trisha",32371
"val",3975
"winnifred",424
"adelia",819
"adelle",854
"adriane",5096
"angelyn",916
"camellia",1222
"cherlyn",1433
"christeen",795
"dean",100785
"delinda",1911
"dorine",1166
"eloisa",2078
"emmie",687
"georgeanne",602
"ima",488
"jimmy",151795
"justina",5985
"lesa",11074
